Nombre,Precio,Marca,Categoria,UrlCompra,Imagen
Leche Dos Pinos delactomy uht 0% grasa - 946 ml,1280.0,DOS PINOS,/Lácteos/Leche/Leche Deslactosada/,https://www.walmart.co.cr/leche-dos-pinos-delactomy-descremada-946-ml,https://walmartcr.vteximg.com.br/arquivos/ids/723261/4315_01.jpg?v=638629892074130000
Queso Great Value Mozzarella Rallado - 226 g,2000.0,GREAT VALUE,/Lácteos/Queso/Queso Mozzarella/,https://www.walmart.co.cr/queso-great-value-mozzarella-rallado-226-g,https://walmartcr.vteximg.com.br/arquivos/ids/782892/1674_01.jpg?v=638678433839730000
Tortilla de harina Bimbo mediana light 10 Uds - 260 g,930.0,BIMBO,/Panadería y tortillería/Tortillería/Tortillas de Harina/,https://www.walmart.co.cr/tortilla-bimbo-trigo-med-light-10unidades-260gr,https://walmartcr.vteximg.com.br/arquivos/ids/930062/1110_01.jpg?v=638834013341670000
Pan Blanco Bimbo sándwich XG - 720 g,2000.0,BIMBO,/Panadería y tortillería/Pan Salado/Pan Europeo y Rústico/,https://www.walmart.co.cr/pan-blanco-bimbo-sandwich-xg-720-g,https://walmartcr.vteximg.com.br/arquivos/ids/930110/973_01.jpg?v=638834016162100000
"Natilla Dos Pinos Delactomy Liviana Libre De Lactosa, Con Sal Doypack - 400g",1650.0,DOS PINOS,/Lácteos/Crema o Natilla/Regular/,https://www.walmart.co.cr/natilla-dos-pinos-delactomy-doy-pack-400gr-2,https://walmartcr.vteximg.com.br/arquivos/ids/935032/898_01.jpg?v=638839740091300000
Bolsa Basura Zesta 9 unidades,650.0,ZESTA,/Limpieza/Desechables/Bolsas para Basura/,https://www.walmart.co.cr/zesta-bolsa-bas-9u,https://walmartcr.vteximg.com.br/arquivos/ids/527756/Bolsa-Basura-Zesta-9-unidades-1-24737.jpg?v=638419241440800000
Galletas Oreo Sabor Original 36g Uds 12 Pack - 432g,2300.0,NABISCO,/Abarrotes/Galletas/Galletas Dulces/,https://www.walmart.co.cr/galleta-nabisco-oreo-regular-432gr,https://walmartcr.vteximg.com.br/arquivos/ids/897784/2785_01.jpg?v=638787690034300000
Trozos de Salmón Marketside con piel -500 g,5500.0,MARKETSIDE,/Carnes y Pescados/Mariscos y Pescados/Filetes y Enteros/,https://www.walmart.co.cr/trozos-de-salmon-con-piel-500g-mk,https://walmartcr.vteximg.com.br/arquivos/ids/884337/91240_01.jpg?v=638766277979930000
Galletas Cuétara Campechana -228 g,1400.0,DINO,/Abarrotes/Galletas/Galletas Dulces/,https://www.walmart.co.cr/galletas-campechanas-300gr,https://walmartcr.vteximg.com.br/arquivos/ids/778313/77522_01.jpg?v=638675714628500000
Sazonador Maggi de res 5 pack - 50 g,510.0,MAGGI,/Abarrotes/Especias y Sazonadores/Consomés/,https://www.walmart.co.cr/sazonador-maggi-de-res-5-pack-50-g,https://walmartcr.vteximg.com.br/arquivos/ids/847760/74689_01.jpg?v=638731855896000000
Manga Hortifruti Kilo,900.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/manga-hortifruti-kilo,https://walmartcr.vteximg.com.br/arquivos/ids/545987/Manga-Hortifruti-Kilo-1-94172.jpg?v=638440729948100000
Jabón Zote blanco - 100 g,500.0,ZOTE,/Limpieza/Jabón de lavandería/Jabón de Barra/,https://www.walmart.co.cr/jabon-zote-blanco-100-gr,https://walmartcr.vteximg.com.br/arquivos/ids/494957/Jab-n-Zote-Blanco-100-gr-1-92963.jpg?v=638398284789030000
Chuleta La Granja de cerdo ahumada - 500 g,3780.0,LA GRANJA,/Carnes y Pescados/Cerdo/Carne de Cerdo/,https://www.walmart.co.cr/chuleta-la-granja-de-cerdo-ahumada-500-g,https://walmartcr.vteximg.com.br/arquivos/ids/455061/Chuleta-De-Cerdo-Ahumada-La-Granja-500g-1-86889.jpg?v=638316312305100000
Repollo Blanco Kilo,760.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Lechugas, espinacas y hojas verdes/",https://www.walmart.co.cr/repollo-blanco-kilo-4,https://walmartcr.vteximg.com.br/arquivos/ids/530644/Repollo-Blanco-Kilo-1-86475.jpg?v=638419994512700000
Piña Pequeña Sin Corona - Unidad,900.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/pina-pequena-sin-corona-unidad,https://walmartcr.vteximg.com.br/arquivos/ids/884428/59027_01.jpg?v=638767111271300000
Pan integral cero Bimbo - 550gr,1850.0,BIMBO,/Panadería y tortillería/Pan Salado/Pan Tostado/,https://www.walmart.co.cr/pan-integral-cero-bimbo-550-g,https://walmartcr.vteximg.com.br/arquivos/ids/829049/56130_01.jpg?v=638711758613730000
Leche Dos Pinos delactomy a2 uht fácil de digerir - 1 L,1300.0,DOS PINOS,/Lácteos/Leche/Leche Semi y Descremada/,https://www.walmart.co.cr/leche-dos-pinos-a2-uht-1000ml-2,https://walmartcr.vteximg.com.br/arquivos/ids/908111/51529_01.jpg?v=638799375233830000
Camote Kilo – 1 a 2 Unidades Aproximadamente por Kilo,852.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/camote-kilo-4,https://walmartcr.vteximg.com.br/arquivos/ids/530626/Camote-Kilo-1-72867.jpg?v=638419994423900000
"Piña Dorada Sin Corona, Calidad Premium - Unidad",900.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/pina-dorada-sin-corona-calidad-premium,https://walmartcr.vteximg.com.br/arquivos/ids/884402/46933_01.jpg?v=638767110693200000
Mandarina Hortifruti importada empacada - 900 g,1900.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Naranja, Limón y cítricos/",https://www.walmart.co.cr/mandarina-hortifruti-importada-emp-900-gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/904991/42446_01.jpg?v=638797875287000000
Galleta Gama soda 3 Pack - 576 g,1040.0,GAMA,/Abarrotes/Galletas/Galletas Saladas/,https://www.walmart.co.cr/galleta-gama-soda-3-pack-576-g,https://walmartcr.vteximg.com.br/arquivos/ids/898335/42175_01.jpg?v=638790549217070000
"Bolsa Para Basura Supermax, Negra Mediana 30 unidades",1330.0,SUPERMAX,/Limpieza/Desechables/Bolsas para Basura/,https://www.walmart.co.cr/bolsa-pbasura-supermax-negra-med-30eq,https://walmartcr.vteximg.com.br/arquivos/ids/658283/42109_01.jpg?v=638586684048100000
Arroz Tío Pelón Bio 95% grano entero - 1800 g,1950.0,TIO PELON,"/Abarrotes/Arroz, Frijol y Semillas/Arroz/",https://www.walmart.co.cr/arroz-tio-pelon-bio-95--grano-entero-1800-g,https://walmartcr.vteximg.com.br/arquivos/ids/951555/42087_01.jpg?v=638859681785400000
Sandía Hortifruti selección especial - Precio indicado por kg,570.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/sandia-max-kilogramo-4,https://walmartcr.vteximg.com.br/arquivos/ids/861712/25608_01.jpg?v=638749115845570000
Papa Mini Malla Red Kilo -33 a 35 unidades Aproximadamente.,1450.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/papa-mini-malla-red-kg-33-a-35-unidades-aproximadamente-4,https://walmartcr.vteximg.com.br/arquivos/ids/597204/Papa-Mini-Malla-Red-Kilo-33-a-35-unidades-Aproximadamente-1-60133.jpg?v=638496781448170000
Zucchini verde Hortifruti fresco y de gran calidad - 1 Ud,350.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Cebollas, papas y verduras de raíz/",https://www.walmart.co.cr/zuchini-unidad-2-2,https://walmartcr.vteximg.com.br/arquivos/ids/926150/12162_01.jpg?v=638829108242430000
Frijol Santa Cruz molido rojo sin picante - 400 g,1000.0,SANTA CRUZ,/Abarrotes/Enlatados y Conservas/Frijoles instantáneos/,https://www.walmart.co.cr/frijol-santa-cruz-molido-rojo-sin-picar-400gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/508090/Frijol-Santa-Cruz-Molido-Rojo-Sin-Picar-400gr-1-42944.jpg?v=638416007196100000
Espinaca -1 Unidad,370.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Lechugas, espinacas y hojas verdes/",https://www.walmart.co.cr/espinaca-unidad-2,https://walmartcr.vteximg.com.br/arquivos/ids/597235/Espinaca-1-Unidad-1-38478.jpg?v=638496781580500000
Cloro Great Value original galón -3785 ml,1440.0,GREAT VALUE,/Limpieza/Limpieza del hogar/Cloro/,https://www.walmart.co.cr/cloro-great-value-original-galon-3785-ml,https://walmartcr.vteximg.com.br/arquivos/ids/580381/Cloro-Great-Value-original-gal-n-3785ml-1-56355.jpg?v=638477130947700000
Chile pimiento Hortifruti  - Precio indicado por libra,170.0,HORTIFRUTI,"/Frutas y Verduras/Verduras/Chiles, ajos, y pimientos/",https://www.walmart.co.cr/chile-verde-unidad,https://walmartcr.vteximg.com.br/arquivos/ids/796664/12179_01.jpg?v=638688649449470000
Salsa Great Value De Tomate Albahaca Y Ajo - 680 g,1400.0,GREAT VALUE,/Abarrotes/Pastas/Salsa para Pasta y Pizza/,https://www.walmart.co.cr/salsa-great-value-de-tomate-albahaca-y-ajo-680-g,https://walmartcr.vteximg.com.br/arquivos/ids/945528/17278_01.jpg?v=638854339913800000
Pasta Lucema canelones - 250 g,600.0,LUCEMA,/Abarrotes/Pastas/Pasta Especial/,https://www.walmart.co.cr/pasta-lucema-canelones-250-g,https://walmartcr.vteximg.com.br/arquivos/ids/507997/Canelon-Lucema-Canelon-250gr-1-42269.jpg?v=638416006788900000
"Gimnasio Marcy, color negro MWM-990 -150LB",169915.0,MARCY BRAND,/Deportes/Artículos deportivos/Entrenamiento Físico/,https://www.walmart.co.cr/gimnasio-marcy-mwm-990-negro-150lb-2,https://walmartcr.vteximg.com.br/arquivos/ids/880643/13069_01.jpg?v=638762145103770000
Colchón Jiron Econo Plus Matrimonial Ortopédico,145900.0,JIRON,/Artículos para el hogar/Colchones y Blancos/Colchones/,https://www.walmart.co.cr/colchon-matrimonial-jiron-economico-plus-unidad,https://walmartcr.vteximg.com.br/arquivos/ids/941565/14620_01.jpg?v=638851371247470000
Galletas Chiky Pozuelo sabor chocolate - 480 g,2080.0,CHIKY,/Abarrotes/Galletas/Galletas Dulces/,https://www.walmart.co.cr/galletas-chiky-pozuelo-sabor-chocolate-480-g,https://walmartcr.vteximg.com.br/arquivos/ids/915410/155_01.jpg?v=638809986324200000
Yogurt Dos Pinos topping chocolate lleva 4 paga 3 - 680 g,2850.0,DOS PINOS,/Lácteos/Yogurt/Yogurt Batido/,https://www.walmart.co.cr/yogurt-dos-pinos-topping-chocolate-4x3-600gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/429821/Yogurt-Dos-Pinos-Topping-Chocolate-4X3-600Gr-1-31140.jpg?v=638272248093570000
Jamón de pavo Don Cristóbal ahumado light - 250 g,1420.0,DON CRISTOBAL,/Embutidos/Carnes frías/Jamón/,https://www.walmart.co.cr/jamon-don-cristobal-ahumado-pavo-light-250gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/904978/11494_01.jpg?v=638797875237730000
Banano Criollo Kg -8 A 13 Unidades Por Kg. Aproximadamente,680.0,HORTIFRUTI,"/Frutas y Verduras/Frutas/Bananos, Papayas y tropicales/",https://www.walmart.co.cr/banano-criollo-kg-a-13-unidades-por-kg-aproximadamente-2,https://walmartcr.vteximg.com.br/arquivos/ids/374713/Inactivar-913-1-60723.jpg?v=638084758132230000
Sal Sabemas refinada bolsa - 500 g,410.0,SABEMAS,/Abarrotes/Especias y Sazonadores/Sal y Condimentos/,https://www.walmart.co.cr/sal-sabemas-refinada-bolsa-500gr-4,https://walmartcr.vteximg.com.br/arquivos/ids/951277/11054_01.jpg?v=638859678377430000
Leche Dos Pinos Descremada más Proteina - 946 ml,1490.0,DOS PINOS,/Lácteos/Leche/Leche Deslactosada/,https://www.walmart.co.cr/leche-dos-pinos-descremada-mas-proteina-1000ml,https://walmartcr.vteximg.com.br/arquivos/ids/723999/10905_01.jpg?v=638629899480700000
Consome Maggi De Pollo - 50g,450.0,MAGGI,/Abarrotes/Especias y Sazonadores/Consomés/,https://www.walmart.co.cr/maggi-consome-de-pollo-sobre-10g-4-unidades-4,https://walmartcr.vteximg.com.br/arquivos/ids/555367/Consome-de-Pollo-MAGGI-Sobre-10g-4-Unidades-1-27049.jpg?v=638448935800770000
"Jugo De Naranja Dos Pinos, Fuente De Vitamina C - 2.2 L",1900.0,DOS PINOS,/Jugos y Bebidas/Jugos y Néctares/Jugo de Frutas/,https://www.walmart.co.cr/jugo-de-naranja-dos-pinos--fuente-de-vitamina-c-2-2-l,https://walmartcr.vteximg.com.br/arquivos/ids/936216/10677_01.jpg?v=638841720374900000
Esponja El Contraste anatómica multiuso - 2 Pack,900.0,EL CONTRASTE,/Limpieza/Accesorios para limpieza/Fibras y esponjas/,https://www.walmart.co.cr/esponja-el-contraste-anatomica-multiuso-2-pack,https://walmartcr.vteximg.com.br/arquivos/ids/885152/10589_01.jpg?v=638772295666130000
Tortilla Bimbo Harina Trigo Rapidita Clásicas 12 Uds - 312 g,930.0,BIMBO,/Panadería y tortillería/Tortillería/Tortillas de Harina/,https://www.walmart.co.cr/tortil-bimbo-harin-trig-rapidi-12u-312gr,https://walmartcr.vteximg.com.br/arquivos/ids/881609/10405_01.jpg?v=638763779300430000
"Filete De Pollo Sin Piel Don Cristobal, Precio indicado por Kilo",4200.0,DON CRISTOBAL,/Carnes y Pescados/Pollo y Pavo/Pollo/,https://www.walmart.co.cr/filete-sin-piel-pollo-kg-2,https://walmartcr.vteximg.com.br/arquivos/ids/530580/Filete-De-Pollo-Sin-Piel-Don-Cristobal-Precio-indicado-por-Kilo-1-26844.jpg?v=638419994123230000
"Muslo De Pollo, Precio indicado por Kilo",1600.0,DON CRISTOBAL,/Carnes y Pescados/Pollo y Pavo/Pollo/,https://www.walmart.co.cr/muslo-pollo-kg-2-2,https://walmartcr.vteximg.com.br/arquivos/ids/381006/Muslo-De-Pollo-Kg-1-26839.jpg?v=638108734029600000
